sourceDataset,year,areaName,industryMediumClassName,currencyUnitName,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption
area_industry_average_out,2017,대구,커피,(단위 :천원),9352,9352000,133,133000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,커피,(단위 :천원),6912,6912000,130,130000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,커피,(단위 :천원),11835,11835000,124,124000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,커피,(단위 :천원),8943,8943000,116,116000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,커피,(단위 :천원),12051,12051000,184,184000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,커피,(단위 :천원),3971,3971000,79,79000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,커피,(단위 :천원),13311,13311000,205,205000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,음료 (커피 외),(단위 :천원),7659,7659000,640,640000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,음료 (커피 외),(단위 :천원),7331,7331000,351,351000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,음료 (커피 외),(단위 :천원),26609,26609000,780,780000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,음료 (커피 외),(단위 :천원),0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,주점,(단위 :천원),13825,13825000,199,199000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,주점,(단위 :천원),7709,7709000,114,114000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,주점,(단위 :천원),9975,9975000,126,126000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,주점,(단위 :천원),16783,16783000,175,175000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,주점,(단위 :천원),4407,4407000,37,37000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,주점,(단위 :천원),6918,6918000,58,58000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,주점,(단위 :천원),6692,6692000,65,65000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,주점,(단위 :천원),8551,8551000,117,117000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,주점,(단위 :천원),8143,8143000,66,66000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,주점,(단위 :천원),5806,5806000,54,54000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,주점,(단위 :천원),7607,7607000,84,84000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,주점,(단위 :천원),7999,7999000,88,88000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,주점,(단위 :천원),6101,6101000,70,70000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,주점,(단위 :천원),4875,4875000,67,67000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,주점,(단위 :천원),5529,5529000,69,69000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,주점,(단위 :천원),10968,10968000,89,89000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,패스트푸드,(단위 :천원),17191,17191000,255,255000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,패스트푸드,(단위 :천원),14596,14596000,171,171000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,패스트푸드,(단위 :천원),32775,32775000,227,227000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,패스트푸드,(단위 :천원),25868,25868000,289,289000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,패스트푸드,(단위 :천원),28054,28054000,325,325000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,패스트푸드,(단위 :천원),30646,30646000,309,309000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,패스트푸드,(단위 :천원),11421,11421000,182,182000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,패스트푸드,(단위 :천원),9437,9437000,128,128000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,패스트푸드,(단위 :천원),9344,9344000,187,187000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,패스트푸드,(단위 :천원),18213,18213000,191,191000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,중식,(단위 :천원),27330,27330000,179,179000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,중식,(단위 :천원),32351,32351000,253,253000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,중식,(단위 :천원),6101,6101000,71,71000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,중식,(단위 :천원),55264,55264000,539,539000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,중식,(단위 :천원),19887,19887000,178,178000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,중식,(단위 :천원),28507,28507000,306,306000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,중식,(단위 :천원),39255,39255000,501,501000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,중식,(단위 :천원),19764,19764000,183,183000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,중식,(단위 :천원),3490,3490000,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,중식,(단위 :천원),15495,15495000,164,164000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,중식,(단위 :천원),33949,33949000,346,346000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,중식,(단위 :천원),24550,24550000,150,150000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,중식,(단위 :천원),0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,중식,(단위 :천원),6254,6254000,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,중식,(단위 :천원),26226,26226000,371,371000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,중식,(단위 :천원),0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,중식,(단위 :천원),0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,제과제빵,(단위 :천원),4182,4182000,125,125000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,제과제빵,(단위 :천원),6280,6280000,205,205000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,제과제빵,(단위 :천원),5392,5392000,153,153000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,제과제빵,(단위 :천원),5953,5953000,136,136000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,제과제빵,(단위 :천원),7350,7350000,1039,1039000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,제과제빵,(단위 :천원),7185,7185000,193,193000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,제과제빵,(단위 :천원),5749,5749000,170,170000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,제과제빵,(단위 :천원),6585,6585000,172,172000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,제과제빵,(단위 :천원),18636,18636000,420,420000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,제과제빵,(단위 :천원),42127,42127000,1501,1501000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,아이스크림/빙수 ,(단위 :천원),4900,4900000,111,111000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,아이스크림/빙수 ,(단위 :천원),6450,6450000,121,121000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,치킨,(단위 :천원),5840,5840000,153,153000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,치킨,(단위 :천원),6771,6771000,184,184000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,치킨,(단위 :천원),10467,10467000,275,275000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,치킨,(단위 :천원),9389,9389000,226,226000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,치킨,(단위 :천원),9194,9194000,244,244000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,치킨,(단위 :천원),3395,3395000,84,84000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,치킨,(단위 :천원),6799,6799000,171,171000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,치킨,(단위 :천원),7743,7743000,215,215000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,치킨,(단위 :천원),7771,7771000,192,192000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,치킨,(단위 :천원),9207,9207000,177,177000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,치킨,(단위 :천원),7934,7934000,201,201000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,치킨,(단위 :천원),5257,5257000,125,125000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,치킨,(단위 :천원),5198,5198000,124,124000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,치킨,(단위 :천원),14831,14831000,448,448000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,치킨,(단위 :천원),21486,21486000,1402,1402000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,피자,(단위 :천원),7112,7112000,204,204000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,피자,(단위 :천원),12586,12586000,271,271000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,피자,(단위 :천원),16214,16214000,392,392000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,피자,(단위 :천원),11498,11498000,287,287000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,피자,(단위 :천원),16506,16506000,253,253000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,피자,(단위 :천원),14670,14670000,319,319000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,피자,(단위 :천원),16002,16002000,332,332000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,피자,(단위 :천원),4485,4485000,119,119000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,피자,(단위 :천원),15540,15540000,290,290000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,피자,(단위 :천원),15433,15433000,284,284000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,피자,(단위 :천원),11625,11625000,235,235000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,피자,(단위 :천원),16449,16449000,303,303000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,피자,(단위 :천원),14664,14664000,303,303000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,피자,(단위 :천원),12577,12577000,274,274000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,피자,(단위 :천원),10913,10913000,230,230000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,피자,(단위 :천원),21156,21156000,405,405000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,피자,(단위 :천원),0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,제과제빵,(단위 :천원),4862,4862000,177,177000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,제과제빵,(단위 :천원),6982,6982000,408,408000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,제과제빵,(단위 :천원),6529,6529000,264,264000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,제과제빵,(단위 :천원),6370,6370000,197,197000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,제과제빵,(단위 :천원),10228,10228000,269,269000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,제과제빵,(단위 :천원),6545,6545000,146,146000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,제과제빵,(단위 :천원),11833,11833000,322,322000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,커피,(단위 :천원),9903,9903000,173,173000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,커피,(단위 :천원),9354,9354000,159,159000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,커피,(단위 :천원),9664,9664000,113,113000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,커피,(단위 :천원),10309,10309000,148,148000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,커피,(단위 :천원),9182,9182000,138,138000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,커피,(단위 :천원),6650,6650000,124,124000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,커피,(단위 :천원),18715,18715000,231,231000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,커피,(단위 :천원),30911,30911000,707,707000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,음료 (커피 외),(단위 :천원),5250,5250000,216,216000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,음료 (커피 외),(단위 :천원),13133,13133000,427,427000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,음료 (커피 외),(단위 :천원),10324,10324000,440,440000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,음료 (커피 외),(단위 :천원),14134,14134000,350,350000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,음료 (커피 외),(단위 :천원),18004,18004000,442,442000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,음료 (커피 외),(단위 :천원),16033,16033000,419,419000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,음료 (커피 외),(단위 :천원),4566,4566000,476,476000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,음료 (커피 외),(단위 :천원),4639,4639000,195,195000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,음료 (커피 외),(단위 :천원),10955,10955000,530,530000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,음료 (커피 외),(단위 :천원),3668,3668000,328,328000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,음료 (커피 외),(단위 :천원),15610,15610000,717,717000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,음료 (커피 외),(단위 :천원),13577,13577000,620,620000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,음료 (커피 외),(단위 :천원),9681,9681000,728,728000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,패스트푸드,(단위 :천원),18580,18580000,203,203000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,패스트푸드,(단위 :천원),15487,15487000,255,255000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,패스트푸드,(단위 :천원),13158,13158000,162,162000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,패스트푸드,(단위 :천원),15197,15197000,144,144000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,패스트푸드,(단위 :천원),9261,9261000,149,149000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,패스트푸드,(단위 :천원),25585,25585000,417,417000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,패스트푸드,(단위 :천원),34659,34659000,1323,1323000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,치킨,(단위 :천원),4659,4659000,115,115000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,치킨,(단위 :천원),6360,6360000,156,156000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
